X,Y,Estaciones
-41.0945498,-3.568303323,Vicosa do Ceara
-40.34476453,-3.660605378,Sobral
-38.97981068,-3.674750452,Sao Goncalo do Amarante
-40.14993276,-4.332953427,Santa Quiteria
-39.73338815,-7.18305902,Santana do Cariri
-39.28369603,-5.200769967,Quixeramobim
-39.03337388,-4.967000076,Quixada
-39.27230701,-3.795656779,Pentecoste
-38.99792619,-7.68237997,Jati
-39.635984697917443,-4.528938260544027,Itatira
-38.566710133569742,-3.733015856823834,Funceme
-39.412792282747596,-7.238344902367623,Crato
-40.845010961140332,-2.899976306329849,Camocim
-40.118426461240915,-2.88590718846589,Acarau
-40.132835591504545,-7.199794617522843,Araripe
-40.116711309110762,-6.566956914427509,Aiuaba
-38.127745059399068,-4.18118778788831,Beberibe
