Estação ,Sensores ,Data Hora,Valor ,,,,,
SANTANA DO CARIRI,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
SANTANA DO CARIRI,Umidade Relativa (%),2013-04-01 00:00:00,0.00,,,,,
SANTANA DO CARIRI,Temp. do Ar (ºC),2013-04-01 00:00:00,0.00,,,,,
SANTANA DO CARIRI,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
SANTANA DO CARIRI,Pressão atmosférica (hPa),2013-04-01 00:00:00,850.00,,,,,
SANTANA DO CARIRI,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
SANTANA DO CARIRI,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
SANTA QUITERIA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
SANTA QUITERIA,Umidade Relativa (%),2013-04-01 00:00:00,0.00,,,,,
SANTA QUITERIA,Temp. do Ar (ºC),2013-04-01 00:00:00,0.00,,,,,
SANTA QUITERIA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
SANTA QUITERIA,Pressão atmosférica (hPa),2013-04-01 00:00:00,850.00,,,,,
SANTA QUITERIA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
SANTA QUITERIA,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
SOBRAL,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
SOBRAL,Umidade Relativa (%),2013-04-01 00:00:00,78.40,,,,,
SOBRAL,Temp. do Ar (ºC),2013-04-01 00:00:00,26.50,,,,,
SOBRAL,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
SOBRAL,Pressão atmosférica (hPa),2013-04-01 00:00:00,1005.20,,,,,
SOBRAL,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
SOBRAL,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
AIUABA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
AIUABA,Umidade Relativa (%),2013-04-01 00:00:00,80.00,,,,,
AIUABA,Temp. do Ar (ºC),2013-04-01 00:00:00,21.90,,,,,
AIUABA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
AIUABA,Pressão atmosférica (hPa),2013-04-01 00:00:00,953.20,,,,,
AIUABA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
AIUABA,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
ITAPIPOCA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,3.80,,,,,
ITAPIPOCA,Umidade Relativa (%),2013-04-01 00:00:00,75.20,,,,,
ITAPIPOCA,Temp. do Ar (ºC),2013-04-01 00:00:00,24.30,,,,,
ITAPIPOCA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
ITAPIPOCA,Pressão atmosférica (hPa),2013-04-01 00:00:00,1054.70,,,,,
ITAPIPOCA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,12.20,,,,,
ITAPIPOCA,Direção do vento (graus),2013-04-01 00:00:00,144.00,,,,,
ARATUBA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.60,,,,,
ARATUBA,Umidade Relativa (%),2013-04-01 00:00:00,22.40,,,,,
ARATUBA,Temp. do Ar (ºC),2013-04-01 00:00:00,51.10,,,,,
ARATUBA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
ARATUBA,Pressão atmosférica (hPa),2013-04-01 00:00:00,922.00,,,,,
ARATUBA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
ARATUBA,Direção do vento (graus),2013-04-01 00:00:00,129.00,,,,,
CANINDE-CANGATI,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,2.00,,,,,
CANINDE-CANGATI,Umidade Relativa (%),2013-04-01 00:00:00,27.20,,,,,
CANINDE-CANGATI,Temp. do Ar (ºC),2013-04-01 00:00:00,2.80,,,,,
CANINDE-CANGATI,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
CANINDE-CANGATI,Pressão atmosférica (hPa),2013-04-01 00:00:00,982.30,,,,,
CANINDE-CANGATI,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
CANINDE-CANGATI,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
MARANGUAPE,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,4.00,,,,,
MARANGUAPE,Umidade Relativa (%),2013-04-01 00:00:00,100.80,,,,,
MARANGUAPE,Temp. do Ar (ºC),2013-04-01 00:00:00,51.10,,,,,
MARANGUAPE,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
MARANGUAPE,Pressão atmosférica (hPa),2013-04-01 00:00:00,998.40,,,,,
MARANGUAPE,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
MARANGUAPE,Direção do vento (graus),2013-04-01 00:00:00,69.00,,,,,
CAUCAIA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,2.10,,,,,
CAUCAIA,Umidade Relativa (%),2013-04-01 00:00:00,78.40,,,,,
CAUCAIA,Temp. do Ar (ºC),2013-04-01 00:00:00,22.50,,,,,
CAUCAIA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
CAUCAIA,Pressão atmosférica (hPa),2013-04-01 00:00:00,1008.50,,,,,
CAUCAIA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
CAUCAIA,Direção do vento (graus),2013-04-01 00:00:00,18.00,,,,,
PENTECOSTE,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
PENTECOSTE,Umidade Relativa (%),2013-04-01 00:00:00,75.20,,,,,
PENTECOSTE,Temp. do Ar (ºC),2013-04-01 00:00:00,27.50,,,,,
PENTECOSTE,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
PENTECOSTE,Pressão atmosférica (hPa),2013-04-01 00:00:00,1005.60,,,,,
PENTECOSTE,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
PENTECOSTE,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
PEDRA BRANCA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
PEDRA BRANCA,Umidade Relativa (%),2013-04-01 00:00:00,68.80,,,,,
PEDRA BRANCA,Temp. do Ar (ºC),2013-04-01 00:00:00,24.70,,,,,
PEDRA BRANCA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
PEDRA BRANCA,Pressão atmosférica (hPa),2013-04-01 00:00:00,954.60,,,,,
PEDRA BRANCA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
PEDRA BRANCA,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
ITATIRA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
ITATIRA,Umidade Relativa (%),2013-04-01 00:00:00,0.00,,,,,
ITATIRA,Temp. do Ar (ºC),2013-04-01 00:00:00,0.00,,,,,
ITATIRA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
ITATIRA,Pressão atmosférica (hPa),2013-04-01 00:00:00,850.00,,,,,
ITATIRA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
ITATIRA,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
UBAJARA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,2.60,,,,,
UBAJARA,Umidade Relativa (%),2013-04-01 00:00:00,92.80,,,,,
UBAJARA,Temp. do Ar (ºC),2013-04-01 00:00:00,6.00,,,,,
UBAJARA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
UBAJARA,Pressão atmosférica (hPa),2013-04-01 00:00:00,931.70,,,,,
UBAJARA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
UBAJARA,Direção do vento (graus),2013-04-01 00:00:00,24.00,,,,,
TABULEIRO DO NORTE,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
TABULEIRO DO NORTE,Umidade Relativa (%),2013-04-01 00:00:00,68.80,,,,,
TABULEIRO DO NORTE,Temp. do Ar (ºC),2013-04-01 00:00:00,27.70,,,,,
